name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2023-01-01,12.3,7.6,10.8,12.3,6.4,10.6,7.3,78.7,1.445,100,50,rain,0,0,43.5,28.9,224.3,1008,81,14.9,17.9,1.5,1,10,2023-01-01T08:06:18,2023-01-01T16:01:52,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,AR120,03772099999,03770099999"
London,2023-01-02,9.1,2.8,6.4,6.9,1.3,4.8,4.3,86.5,0.597,100,8.33,rain,0,0,21.5,15.4,247.6,1016.8,40.4,25.1,24.3,2,2,10,2023-01-02T08:06:11,2023-01-02T16:02:56,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-03,12.8,4.1,9,12.8,3.2,8.3,7.5,90.3,2.002,100,33.33,rain,0,0,50.5,32,201.2,1018.7,90.4,11.5,8.1,0.6,0,10,2023-01-03T08:06:01,2023-01-03T16:04:03,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
London,2023-01-04,14,10.8,12.7,14,10.8,12.7,9.3,80.1,0.4,100,8.33,rain,0,0,54.4,38.4,245.3,1014.6,78.8,17.5,14.7,1.4,1,10,2023-01-04T08:05:48,2023-01-04T16:05:12,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-05,13.6,9.8,11.7,13.6,7.7,11.5,8.5,80.5,0,0,0,rain,0,0,45.3,27,230.1,1018.6,92,19.3,17.3,1.5,1,10,2023-01-05T08:05:31,2023-01-05T16:06:24,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-06,12.6,6.6,10.2,12.6,3.6,9.4,7.8,84.4,3.197,100,25,rain,0,0,45.7,31.5,216.3,1013.8,59.9,26.8,28.5,2.4,2,10,2023-01-06T08:05:11,2023-01-06T16:07:38,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-07,12.8,7.6,10.7,12.8,4.4,9.9,7.6,80.8,3.204,100,41.67,rain,0,0,57.6,37,199.9,1000.7,80.6,20.5,5.4,0.6,0,10,2023-01-07T08:04:47,2023-01-07T16:08:55,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-08,10.1,5.6,7.6,10.1,2.6,4.5,5.3,85.6,7.822,100,62.5,rain,0,0,45.6,26.5,207.9,992.9,77,18.2,18.8,1.5,1,10,2023-01-08T08:04:21,2023-01-08T16:10:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-09,9.3,5.1,6.9,6.3,1.7,3.6,3.3,78.9,0.001,100,4.17,rain,0,0,40.9,29.1,263.8,1001.2,46.2,26.4,26.8,2.3,2,10,2023-01-09T08:03:51,2023-01-09T16:11:35,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-10,13.1,4.8,9.3,13.1,1.6,7.7,7.2,87,7.198,100,50,rain,0,0,53.4,32.1,213.2,1008.3,81.6,12.1,8.3,0.8,1,10,2023-01-10T08:03:18,2023-01-10T16:12:58,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-11,10.6,7.6,9.2,10.6,4.2,7,5.7,78.6,1.417,100,29.17,rain,0,0,52.9,31.5,244.2,1008.5,48.9,22,25.9,2.4,2,10,2023-01-11T08:02:42,2023-01-11T16:14:23,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
London,2023-01-12,12.8,8.6,11.2,12.8,4.6,10.4,8,81.3,6.601,100,58.33,rain,0,0,58.6,39.4,240.7,1003.2,87.1,16.5,10.7,0.8,1,10,2023-01-12T08:02:02,2023-01-12T16:15:50,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-13,10.6,7,8.6,10.6,3.3,5.7,3.3,69.5,0,0,0,rain,0,0,58.6,42.9,255.4,1008.7,36.6,22.8,28.8,2.6,2,10,2023-01-13T08:01:20,2023-01-13T16:17:19,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
London,2023-01-14,12.8,6.6,9.4,12.8,2.8,7.1,6.3,81.4,9.612,100,54.17,rain,0,0,57.8,36.4,232.5,1000.6,80.1,20,11,0.9,1,10,2023-01-14T08:00:35,2023-01-14T16:18:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
London,2023-01-15,8.1,4,5.7,4.4,-0.3,1.9,1.5,74.5,0.199,100,4.17,rain,0,0,48,29.9,240.5,998.3,35.9,31.2,26.3,2.3,2,10,2023-01-15T07:59:47,2023-01-15T16:20:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D5621,03672099999,03781099999,D4121,03772099999,03770099999"
London,2023-01-16,5.5,-1.5,3.6,2.4,-3.6,0.3,0.7,81.7,11.193,100,41.67,rain,0.1,0,41.7,24.5,335.9,986.1,71.7,22.4,15.1,1.3,1,10,2023-01-16T07:58:55,2023-01-16T16:21:56,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"D5621,03672099999,03781099999,03772099999,03770099999"
